year,co2
1850.0,196.896
1851.0,198.805
1852.0,207.551
1853.0,217.209
1854.0,255.139
1855.0,260.166
1856.0,277.292
1857.0,279.889
1858.0,284.171
1859.0,301.312
1860.0,330.641
1861.0,347.735
1862.0,354.057
1863.0,377.859
1864.0,407.09
1865.0,432.307
1866.0,445.97
1867.0,477.815
1868.0,490.753
1869.0,521.131
1870.0,532.537
1871.0,566.143
1872.0,626.372
1873.0,665.419
1874.0,622.997
1875.0,675.799
1876.0,685.553
1877.0,699.099
1878.0,704.379
1879.0,754.867
1880.0,853.705
1881.0,882.405
1882.0,931.922
1883.0,991.032
1884.0,1002.174
1885.0,1009.671
1886.0,1025.475
1887.0,1076.758
1888.0,1192.272
1889.0,1191.8
1890.0,1298.458
1891.0,1358.874
1892.0,1370.088
1893.0,1353.669
1894.0,1400.858
1895.0,1485.273
1896.0,1533.701
1897.0,1606.301
1898.0,1694.266
1899.0,1850.798
1900.0,1952.209
1901.0,2016.744
1902.0,2067.684
1903.0,2254.095
1904.0,2279.749
1905.0,2427.313
1906.0,2534.734
1907.0,2888.308
1908.0,2776.404
1909.0,2890.468
1910.0,3033.82
1911.0,3079.215
1912.0,3235.538
1913.0,3505.865
1914.0,3179.912
1915.0,3134.378
1916.0,3385.277
1917.0,3539.853
1918.0,3492.84
1919.0,3028.56
1920.0,3521.062
1921.0,3089.464
1922.0,3239.736
1923.0,3675.398
1924.0,3686.099
1925.0,3725.637
1926.0,3659.297
1927.0,3993.754
1928.0,3976.071
1929.0,4267.657
1930.0,3934.73
1931.0,3516.94
1932.0,3170.801
1933.0,3338.349
1934.0,3630.765
1935.0,3811.112
1936.0,4181.088
1937.0,4469.369
1938.0,4201.28
1939.0,4445.443
1940.0,4854.658
1941.0,4965.649
1942.0,4953.624
1943.0,5035.077
1944.0,5110.656
1945.0,4250.264
1946.0,4638.339
1947.0,5138.49
1948.0,5415.709
1949.0,5245.849
1950.0,6003.272
1951.0,6379.796
1952.0,6465.727
1953.0,6647.763
1954.0,6789.969
1955.0,7443.244
1956.0,7924.253
1957.0,8185.547
1958.0,8417.624
1959.0,8856.221
1960.0,9387.668
1961.0,9418.46
1962.0,9751.06
1963.0,10271.655
1964.0,10829.612
1965.0,11317.596
1966.0,11866.934
1967.0,12244.029
1968.0,12910.892
1969.0,13767.398
1970.0,14898.716
1971.0,15505.496
1972.0,16228.729
1973.0,17086.193
1974.0,17017.477
1975.0,17054.627
1976.0,17991.887
1977.0,18502.846
1978.0,19077.193
1979.0,19618.463
1980.0,19501.264
1981.0,19036.117
1982.0,18884.486
1983.0,19006.539
1984.0,19664.754
1985.0,20325.486
1986.0,20627.359
1987.0,21273.904
1988.0,22107.795
1989.0,22410.402
1990.0,22757.48
1991.0,23244.807
1992.0,22580.023
1993.0,22812.9
1994.0,22969.498
1995.0,23458.713
1996.0,24159.383
1997.0,24302.584
1998.0,24213.26
1999.0,24732.389
2000.0,25453.623
2001.0,25668.049
2002.0,26281.037
2003.0,27651.596
2004.0,28636.695
2005.0,29614.602
2006.0,30593.117
2007.0,31506.789
2008.0,32085.836
2009.0,31564.031
2010.0,33364.348
2011.0,34487.012
2012.0,35006.27
2013.0,35319.203
2014.0,35577.535
2015.0,35558.566
2016.0,35524.191
2017.0,36096.738
2018.0,36826.508
2019.0,37082.559
