,IRTS_Body
IRTS_Body,1.0
PTemp,0.9716545007059028
AirT_1pt5m,0.9617796266943572
AirT_2m,0.9541171373020213
SoilSfcT,0.9064917172372555
IRTS_Trgt,0.8930192939595962
Temp_C,0.6644125497064383
Vitel_100cm_d,-0.6570253159895081
DayOfYear,0.6250261700533842
eI_tc,0.6015288852050779
SoilCond_tc,0.601528884938726
AirT_10m,0.5703910251988172
QuantRadn,0.5528150431030953
TotalRadn,0.5322160174754935
wfv,0.5209227640261227
Vitel_100cm_a,-0.5149759551134585
eR_tc,0.5035831579227061
eR,0.4956301452137298
eI,0.481052883960696
SoilCond,0.48105288158887183
Vitel_100cm_c,0.4532986248612669
WndSpd_10m_WVc_4,0.3639534527167544
Pressure_1,-0.33363721831061516
WndSpd_2m_WVc_4,0.33324140785789785
AirT_9pt5m,0.3292564197036599
RH_2m,-0.31795651790775376
RH_10m,-0.28207949945312166
WndSpd_10m_WVc_3,0.23337531329057423
WndSpd_2m_WVc_3,0.2332308647547864
WndDir_10m,0.19158163047021137
WndDir_2m,0.18265771615644513
Hour,0.15789173755529612
WndSpd_10m_WVc_2,-0.1295524275930627
WndSpd_Vert_Tot,-0.1226478755969289
WndSpd_Vert_Min,-0.11691196297770863
WndSpd_Vert,-0.11354969253723153
WndSpd_2m_Std,0.10163046673598035
WndSpd_2m_WVc_2,-0.10126920796594212
WndSpd_10m_WVc_1,-0.09985507424864686
WndSpd_10m,-0.0916327865945051
Pressure_2,-0.08402343632070478
WndSpd_Vert_Max,-0.07977964176285138
WndSpd_10m_Std,0.07141326667619867
WndSpd_2m_WVc_1,-0.05575841548938676
WndSpd_2m,-0.05002966925335868
Vitel_100cm_b,-0.04960764609262025
Precip_TB3_Today,-0.03927147960365419
WndSpd_10m_Max,-0.03673511569728514
Precip_TX_Today,-0.03642414404870808
SoilT_5cm,0.016569316565514604
SoilT_10cm,0.014992467687459156
SoilT_20cm,0.011053562639110894
SoilT_50cm,0.008775330665466041
SoilT_100cm,0.005736037180325929
WndSpd_2m_Max,0.004450956644142335
Precip_TX_Tot,0.003580606434402403
Precip_TB3_Tot,0.002906219163100773
NaCI,0.0017815844003761618
Minute,-0.000883019600275655
SoilType,
