,Precip_TB3_Today
Precip_TB3_Today,1.0
Precip_TX_Today,0.9863311031265753
Vitel_100cm_c,-0.3414958604278655
WndSpd_Vert_Max,0.311523428664646
Pressure_1,-0.23846848378972318
WndSpd_Vert_Tot,0.1688871288760707
Precip_TB3_Tot,0.15991806471956235
RH_10m,0.1596942922167869
WndSpd_Vert,0.15814524838129157
Precip_TX_Tot,0.15537806661062684
RH_2m,0.1506447488876943
Hour,0.14141537964088385
SoilCond,-0.1335649003919641
eI,-0.13356489109293224
Pressure_2,0.1036423198067282
wfv,-0.10003113270098421
WndSpd_2m_WVc_3,0.09028965395104653
WndSpd_10m_WVc_3,0.08128540085070347
eR_tc,-0.07782012665603055
eR,-0.07774187886862959
WndDir_10m,0.07434224491224221
SoilCond_tc,-0.07147890297032707
eI_tc,-0.07147889919673235
WndDir_2m,0.07027315427790091
TotalRadn,-0.06792899019774601
QuantRadn,-0.06564699383284758
WndSpd_10m_Std,0.05697242045915875
WndSpd_2m_Std,0.05164543774967912
WndSpd_10m_WVc_4,0.0504519893168551
WndSpd_Vert_Min,0.038404272087869895
AirT_2m,-0.03831122927765808
WndSpd_2m_Max,0.03736330732205271
WndSpd_10m_Max,0.03656425771243012
AirT_1pt5m,-0.03311824187953827
IRTS_Body,-0.03311486503972716
Vitel_100cm_a,-0.026488564043125024
PTemp,-0.02623341706107368
WndSpd_2m_WVc_4,0.025955436440735585
WndSpd_2m_WVc_1,0.0223203366103873
WndSpd_2m,0.018842885520041305
WndSpd_10m_WVc_1,0.01817110668955498
WndSpd_2m_WVc_2,0.017375668968836914
WndSpd_10m,0.017007636428103042
Vitel_100cm_b,-0.016899073285785136
AirT_9pt5m,-0.014956840132978865
WndSpd_10m_WVc_2,0.012126195516519807
AirT_10m,-0.006736463600523553
IRTS_Trgt,-0.00512899285692853
SoilSfcT,-0.004010194097248946
Vitel_100cm_d,-0.0033364344077053236
Temp_C,-0.002917437564142572
SoilT_100cm,0.0010106900591247893
Minute,-0.0007991056265734379
SoilT_50cm,0.0006358096001044938
SoilT_20cm,0.0006028527200403457
SoilT_5cm,0.0005400302656050222
DayOfYear,0.00026862446848964196
SoilT_10cm,0.00022353149661582584
NaCI,0.00017484892379767745
SoilType,
