,Precip_TB3_Tot
Precip_TB3_Tot,1.0
Precip_TX_Tot,0.2969605882189214
WndSpd_Vert_Max,0.15766714922395708
Precip_TB3_Today,0.08891488765828821
Precip_TX_Today,0.08809749630122746
Pressure_1,-0.062488985607488425
WndSpd_10m_Std,0.055695817457497306
RH_10m,0.05403526669334615
WndSpd_Vert,0.053507649103059565
RH_2m,0.052477921945217464
WndSpd_Vert_Tot,0.04911114442382672
WndSpd_2m_Std,0.04736582985813498
WndSpd_10m_Max,0.046099320073160255
WndSpd_2m_Max,0.04247253567285342
WndSpd_10m_WVc_4,0.0378136433772656
TotalRadn,-0.03711631225532194
QuantRadn,-0.036214655501753595
Vitel_100cm_c,-0.035836715623691846
WndSpd_Vert_Min,-0.03534112769878914
WndSpd_10m_WVc_1,0.03494448501263318
WndSpd_2m_WVc_4,0.03369051291614874
WndSpd_2m_WVc_1,0.03327915584103861
WndSpd_2m_WVc_3,0.03193398509571268
WndSpd_10m,0.031253790766479835
WndSpd_10m_WVc_2,0.029692137648052872
WndSpd_2m,0.02827056616170213
WndSpd_2m_WVc_2,0.02764355974840078
WndSpd_10m_WVc_3,0.025110942368588973
SoilCond,-0.02072035788503669
eI,-0.020720357071460808
WndDir_10m,0.01788884509931758
WndDir_2m,0.017822977177529616
Pressure_2,0.01743589697834091
wfv,-0.017262783642926906
eR_tc,-0.014706774537290484
eR,-0.014563696130512241
SoilCond_tc,-0.014066808282780051
eI_tc,-0.01406680537352851
AirT_9pt5m,-0.013367150496220668
AirT_10m,0.008851053806172342
Temp_C,-0.006751965909039445
Hour,-0.006618842881300153
IRTS_Body,0.006489681524183826
DayOfYear,-0.006110522014280374
Vitel_100cm_a,0.005945672122126761
Vitel_100cm_d,0.0057149017243293306
Minute,-0.005709493900766543
SoilSfcT,0.005652558766844228
PTemp,0.00464004237490706
IRTS_Trgt,0.004318469724223916
Vitel_100cm_b,-0.00318224071716507
SoilT_10cm,-0.001717430485836365
SoilT_50cm,-0.001691204781725708
SoilT_20cm,-0.0016422364287632487
SoilT_100cm,-0.0016382124118488814
SoilT_5cm,-0.0016000933003782907
AirT_2m,0.0007621558337865232
NaCI,-0.0005263591165665946
AirT_1pt5m,-4.833206511434722e-05
SoilType,
