,QuantRadn
QuantRadn,1.0
TotalRadn,0.9028187776543356
IRTS_Trgt,0.7022034117805525
SoilSfcT,0.68666920807796
RH_2m,-0.5991673347668571
RH_10m,-0.5572349142743587
PTemp,0.524133750028787
IRTS_Body,0.501927578711951
AirT_1pt5m,0.4853483700514252
AirT_2m,0.4530797067408425
WndSpd_2m_WVc_4,0.4009743236941106
AirT_10m,0.38617639724390956
WndSpd_10m_WVc_4,0.36196783257963233
WndSpd_2m_Std,0.35870474013382614
WndSpd_2m_Max,0.3275034750490977
WndSpd_2m_WVc_1,0.2932333469097881
WndSpd_10m_Std,0.2923909512867864
WndSpd_10m_Max,0.27095500388667854
WndSpd_2m,0.2616720525473927
WndSpd_2m_WVc_2,0.25747296260881464
WndSpd_Vert_Tot,-0.2501523370711851
WndSpd_10m_WVc_1,0.2440135228280391
WndSpd_Vert,-0.23356455864137585
WndSpd_10m,0.22095031427383355
WndSpd_2m_WVc_3,0.22000505587644828
WndSpd_10m_WVc_2,0.2193047326065264
WndSpd_Vert_Max,-0.21826250889846738
eI_tc,0.20946592082316473
SoilCond_tc,0.20946591944270238
wfv,0.20351280269125815
Vitel_100cm_d,-0.19724421905711076
eR_tc,0.19602436223799377
WndSpd_Vert_Min,-0.19586791469395964
eR,0.19514722769721501
DayOfYear,0.1937885532096402
Temp_C,0.1933982986693687
eI,0.19151564248188732
SoilCond,0.19151563868395985
Vitel_100cm_c,0.1758331774634335
Vitel_100cm_a,-0.17383462889653198
WndSpd_10m_WVc_3,0.14195947609225112
AirT_9pt5m,0.13980945100231867
Pressure_1,0.0720129235449542
Precip_TB3_Today,-0.06662420972857463
Precip_TX_Today,-0.06355186550218389
WndDir_10m,0.05468564896023136
WndDir_2m,0.04577593645714763
Precip_TB3_Tot,-0.03237110646163839
Hour,-0.031974427320135654
Precip_TX_Tot,-0.03025529437662664
SoilT_5cm,0.012661590886918745
SoilT_10cm,0.011534742643897205
SoilT_50cm,0.011160028911826195
Vitel_100cm_b,-0.01076810922579994
SoilT_100cm,0.010580883347128622
SoilT_20cm,0.010389530316179453
Pressure_2,0.0027193017578892678
Minute,0.0018164943100679772
NaCI,0.0004553484876500755
SoilType,
