,SoilT_5cm
SoilT_5cm,1.0
SoilT_10cm,0.1486951766135081
SoilT_20cm,0.14854683194188187
SoilT_50cm,0.1481842383957477
SoilT_100cm,0.14789972441420832
Vitel_100cm_b,-0.09985952500205707
AirT_2m,0.03545773415425658
AirT_1pt5m,0.03401180703624471
PTemp,0.030313447529215293
Vitel_100cm_d,-0.0237885140576484
Temp_C,0.022634218346176706
IRTS_Body,0.02247706895969141
Pressure_1,-0.022176646692585785
SoilSfcT,0.02033530626475885
IRTS_Trgt,0.020110269446977365
WndDir_10m,0.016713438088407123
WndDir_2m,0.016641613668984912
WndSpd_Vert_Tot,-0.016435794194754747
WndSpd_Vert,-0.015227634962694457
WndSpd_10m_WVc_3,0.014850454186685905
WndSpd_Vert_Min,-0.01453113786530241
WndSpd_10m_WVc_2,-0.014401572541855938
WndSpd_2m_WVc_2,-0.01385540055551134
AirT_10m,0.01384410833482668
QuantRadn,0.013464818494036105
wfv,0.013256377225185675
WndSpd_10m_WVc_1,-0.01315866394438581
TotalRadn,0.013029019846625809
AirT_9pt5m,0.012858097962945705
eR_tc,0.012284401771105711
WndSpd_2m_WVc_1,-0.012280952461641194
eR,0.01210863702888841
WndSpd_Vert_Max,-0.012014154924277747
WndSpd_10m,-0.010904685144575548
WndSpd_2m_WVc_3,0.010885680654496051
Hour,0.010859253311505439
SoilCond_tc,0.0107352096783542
eI_tc,0.010735209606092512
WndSpd_2m,-0.009949749264339624
WndSpd_10m_Max,-0.009486229351526371
WndSpd_2m_Max,-0.009406482962836388
WndSpd_10m_WVc_4,0.009038030977415198
Vitel_100cm_c,0.008944897527928073
Minute,-0.006659933333421591
WndSpd_2m_Std,-0.004035665445353626
WndSpd_2m_WVc_4,0.0040309360227262095
Pressure_2,-0.003836974950139929
eI,-0.003469778929233336
SoilCond,-0.0034697787395861403
RH_10m,-0.0031811204560897857
Precip_TX_Today,0.0028584345386922227
RH_2m,-0.0027301126656489446
Precip_TB3_Today,0.0025370150373725878
Precip_TB3_Tot,-0.0022114557770565044
WndSpd_10m_Std,-0.002211328686252577
Vitel_100cm_a,0.0014569907612026383
Precip_TX_Tot,-0.0006913932879014081
DayOfYear,0.00017804140671330427
NaCI,9.69597120807401e-05
SoilType,
