,Vitel_100cm_a
Vitel_100cm_a,1.0
SoilCond_tc,-0.8753461893137608
eI_tc,-0.8753461880669409
wfv,-0.8627204906229928
eI,-0.8441915066023897
SoilCond,-0.8441915060368125
eR_tc,-0.8387947646917066
eR,-0.8338096849304305
DayOfYear,-0.8119865153944035
Temp_C,-0.792359372507121
Vitel_100cm_d,0.7902553084899077
Vitel_100cm_c,-0.6511751081424075
AirT_2m,-0.5254306649302626
AirT_1pt5m,-0.5219665065908397
IRTS_Body,-0.5157495306665673
PTemp,-0.4714146927387404
SoilSfcT,-0.36793877368845695
IRTS_Trgt,-0.35739751855742086
Pressure_1,0.25889621253029976
WndSpd_2m_WVc_2,0.23663520286829312
Pressure_2,0.23296881861421567
WndSpd_2m_WVc_1,0.23274867210757214
WndSpd_10m_WVc_2,0.22008645312197755
WndSpd_10m_WVc_1,0.21456352487892166
WndSpd_2m_Max,0.21178095820525378
WndSpd_2m,0.20880317086755681
WndSpd_10m_Max,0.2032201230009538
AirT_10m,-0.1979737382794463
WndSpd_10m,0.1949044565150368
AirT_9pt5m,-0.18348074193103878
QuantRadn,-0.17596058040593385
TotalRadn,-0.17043768871060816
WndSpd_2m_Std,0.15628875544724405
WndSpd_10m_Std,0.14748067270548684
WndDir_2m,-0.13279839845123628
WndDir_10m,-0.11527264414673369
Vitel_100cm_b,-0.10993102579755994
WndSpd_10m_WVc_3,-0.09385691274301454
WndSpd_Vert_Tot,0.08932953946997699
WndSpd_Vert,0.08318318444412273
WndSpd_Vert_Min,0.07966390672372423
RH_10m,0.07523012693122305
RH_2m,0.06720287073950502
WndSpd_Vert_Max,0.056663103112221974
WndSpd_2m_WVc_4,0.043344334455461465
Precip_TX_Today,-0.03144948297419355
WndSpd_2m_WVc_3,-0.030794413257964153
Precip_TB3_Today,-0.027068568301215946
SoilT_100cm,0.015006792299428938
WndSpd_10m_WVc_4,-0.014087806433374617
Hour,-0.012537829564271305
SoilT_50cm,0.01202962920423802
SoilT_20cm,0.010190272972551
SoilT_10cm,0.009208484155107208
SoilT_5cm,0.009051792103873727
Precip_TB3_Tot,0.002530007661393788
Precip_TX_Tot,0.0015036679878973652
NaCI,-0.00048817192592334665
Minute,0.0001403816322296637
SoilType,
