,Vitel_100cm_b
Vitel_100cm_b,1.0
eI,0.22304081662686442
SoilCond,0.22304081541989626
DayOfYear,0.20083538022076702
Vitel_100cm_c,0.17319832242436692
SoilCond_tc,0.13168051068191192
eI_tc,0.13168050853196794
Pressure_2,-0.09958851378986854
Vitel_100cm_a,-0.09440712998681795
AirT_2m,-0.09276485929229036
SoilT_5cm,-0.08972446727214538
SoilT_10cm,-0.08959733618739714
SoilT_20cm,-0.08926777339026705
SoilT_50cm,-0.08871885775562362
SoilT_100cm,-0.08797985516381573
wfv,0.08015572234807747
eR,0.07834752732743076
eR_tc,0.07707996158370514
AirT_1pt5m,-0.05432585379187058
PTemp,-0.05338914818768225
IRTS_Body,-0.042130159127571044
SoilSfcT,-0.041096822357923106
IRTS_Trgt,-0.03967042739877378
WndDir_10m,-0.03558640683889782
WndDir_2m,-0.032234870515783554
Pressure_1,0.03163737232360565
WndSpd_10m_WVc_3,-0.028139461208974138
AirT_10m,-0.02524005273604091
AirT_9pt5m,-0.022834329747491396
WndSpd_2m_WVc_3,-0.02177842927026798
WndSpd_10m_WVc_4,-0.0215339441981068
RH_2m,-0.016460162586599842
Precip_TX_Today,-0.01610139014741373
WndSpd_2m_WVc_4,-0.016045238104410133
Precip_TB3_Today,-0.015960879411117786
Vitel_100cm_d,-0.011799064537434564
Hour,0.009858519037091906
WndSpd_Vert_Max,-0.009745990288742803
TotalRadn,-0.0087097257172676
QuantRadn,-0.008579093284221271
WndSpd_10m_WVc_2,0.00826055273838411
Minute,-0.008015881984733977
Temp_C,0.007883274581877226
WndSpd_10m,0.007499557475928078
WndSpd_10m_WVc_1,0.007377989364765061
WndSpd_Vert_Tot,-0.0073010737033620795
WndSpd_Vert,-0.00695917636904243
WndSpd_10m_Std,-0.006715979057735442
WndSpd_2m_WVc_2,0.005313319095003784
WndSpd_2m_Std,-0.004989297218609981
WndSpd_2m_WVc_1,0.00455931704620643
WndSpd_2m,0.003795432165344397
WndSpd_Vert_Min,-0.003474159789119431
Precip_TX_Tot,-0.0033002876485128964
Precip_TB3_Tot,-0.0031128139339627204
WndSpd_10m_Max,0.0016569605936422357
RH_10m,0.0015365080124575294
WndSpd_2m_Max,0.00036815168754160003
NaCI,0.00034761794716858953
SoilType,
