,Vitel_100cm_d
Vitel_100cm_d,1.0
Temp_C,-0.9921460259864936
DayOfYear,-0.925848630366723
eI_tc,-0.9153352359351775
SoilCond_tc,-0.915335233831135
wfv,-0.8038529768767235
Vitel_100cm_a,0.7858938103491928
eR_tc,-0.762647704776659
eR,-0.7518961609725163
eI,-0.7328990310810194
SoilCond,-0.7328990301063829
AirT_2m,-0.6780233217324508
AirT_1pt5m,-0.6680968084879697
IRTS_Body,-0.6540828532610219
Vitel_100cm_c,-0.6526433822233014
PTemp,-0.6062257770636591
SoilSfcT,-0.4798827249277314
IRTS_Trgt,-0.4636496739402814
Pressure_1,0.31429294565275373
AirT_10m,-0.2761300952808738
WndSpd_2m_WVc_2,0.25444266530933857
WndSpd_2m_WVc_1,0.24812406402746226
WndSpd_10m_WVc_2,0.2404564157404872
AirT_9pt5m,-0.23997560614996732
WndSpd_10m_WVc_1,0.2336797912147754
WndSpd_2m_Max,0.22574280044142028
WndSpd_2m,0.22306498846181505
WndSpd_10m_Max,0.2203137698033387
WndSpd_10m,0.21235640264628153
QuantRadn,-0.19693239126426482
TotalRadn,-0.1878834784893552
WndSpd_2m_Std,0.1676667553555947
Pressure_2,0.16563262020639954
WndSpd_10m_Std,0.15993992209900257
WndDir_2m,-0.13360341861267774
WndDir_10m,-0.09826296761955655
WndSpd_Vert_Tot,0.09224959333728301
WndSpd_Vert_Min,0.08698161513127488
WndSpd_Vert,0.08561234090259379
WndSpd_10m_WVc_3,-0.06541967594778847
WndSpd_Vert_Max,0.05618822825268463
RH_10m,0.04330322694467459
RH_2m,0.03684840963906508
WndSpd_10m_WVc_4,-0.03286563301783278
WndSpd_2m_WVc_4,0.026214553557160198
WndSpd_2m_WVc_3,-0.01796186371695397
SoilT_5cm,-0.01524917236296873
SoilT_10cm,-0.014956853506348337
SoilT_20cm,-0.013725153726841192
Vitel_100cm_b,-0.013375614252948505
SoilT_50cm,-0.011263975028073513
Hour,-0.00890973857004599
Precip_TX_Today,-0.007362837642031945
SoilT_100cm,-0.007190404849942853
Precip_TB3_Tot,0.005498548909288899
Precip_TX_Tot,0.00427871023822843
NaCI,-0.0042334761196048815
Precip_TB3_Today,-0.0031924595003008215
Minute,0.0012314800370713367
SoilType,
