,WndSpd_Vert_Max
WndSpd_Vert_Max,1.0
WndSpd_Vert_Tot,0.5584289898002093
WndSpd_Vert,0.5194326756555003
RH_10m,0.4354104833242586
RH_2m,0.41896802938484823
Precip_TB3_Today,0.2977773959624063
Precip_TX_Today,0.2924844599448876
WndSpd_Vert_Min,0.2888942263195863
Pressure_1,-0.2394186036937235
TotalRadn,-0.23475308828438005
QuantRadn,-0.2342338492393548
Hour,-0.16833360159310332
Vitel_100cm_c,-0.15921969710801476
Precip_TB3_Tot,0.1407150876422635
Precip_TX_Tot,0.13558908358363947
eI,-0.10621767168896606
SoilCond,-0.10621766940061322
wfv,-0.10521662385835048
Pressure_2,0.10003614452617517
eR_tc,-0.08970362920294161
eR,-0.08956614146141385
eI_tc,-0.08887115384783427
SoilCond_tc,-0.08887115312874713
WndSpd_10m_WVc_2,-0.0880327794109721
WndSpd_10m_WVc_1,-0.08795335099242939
IRTS_Body,-0.08297156292099891
PTemp,-0.08229257101939007
WndSpd_2m_WVc_1,-0.08122309829964709
IRTS_Trgt,-0.08118978256328853
WndSpd_2m_WVc_2,-0.07958606173608854
WndSpd_10m,-0.07932141098165091
WndSpd_10m_Max,-0.07771718883869508
WndSpd_2m_Max,-0.07752331263491255
SoilSfcT,-0.07490219449349717
WndSpd_2m,-0.07267460125052123
WndSpd_2m_WVc_4,-0.06776772158615448
WndSpd_2m_Std,-0.06718498250298278
Temp_C,-0.05813344906062281
WndSpd_10m_Std,-0.05750311685812724
Vitel_100cm_d,0.05737546181042517
Vitel_100cm_a,0.05684685467008513
AirT_2m,-0.0556279154763047
AirT_1pt5m,-0.051752835796030655
DayOfYear,-0.043433589052339315
WndSpd_10m_WVc_4,-0.04024948983052857
WndSpd_2m_WVc_3,-0.02877588609952183
WndSpd_10m_WVc_3,-0.02692440952199039
WndDir_10m,-0.023248038864673935
AirT_9pt5m,-0.016522969054904305
WndDir_2m,-0.01405476811580702
AirT_10m,-0.01380658733689993
Vitel_100cm_b,-0.012353474056374481
SoilT_10cm,-0.008484160788358138
SoilT_5cm,-0.008352618665122661
SoilT_100cm,-0.00792261605339001
SoilT_50cm,-0.007853812625177863
SoilT_20cm,-0.007636059650567667
NaCI,-0.0008962781576478081
Minute,-0.0008233527505938786
SoilType,
