,WndSpd_Vert_Min
WndSpd_Vert_Min,1.0
WndSpd_Vert_Tot,0.6739335030981183
WndSpd_Vert,0.6343472928682916
RH_10m,0.38710359325670457
RH_2m,0.37495111420670196
WndSpd_Vert_Max,0.33609879957195393
QuantRadn,-0.2216660035442055
TotalRadn,-0.21976043630496983
Hour,-0.17341561461328378
Pressure_1,-0.14093478332553944
WndSpd_2m_WVc_4,-0.1334595916535619
PTemp,-0.132671627955917
WndSpd_10m_Max,-0.1292125583274034
IRTS_Trgt,-0.12900632475368765
WndSpd_2m_Std,-0.12810813904127666
WndSpd_2m_Max,-0.12514642342884824
WndSpd_10m_Std,-0.12467624230198053
SoilSfcT,-0.12415346714782567
WndSpd_10m_WVc_1,-0.12209624118913164
IRTS_Body,-0.12117908619544243
WndSpd_10m_WVc_4,-0.12017617591224777
WndSpd_2m_WVc_1,-0.11491966291940181
WndSpd_10m_WVc_2,-0.11395875938494968
WndSpd_10m,-0.10994860797233927
WndSpd_2m_WVc_2,-0.10302835616224575
AirT_2m,-0.10214859036380317
WndSpd_2m,-0.10213563482328297
SoilCond_tc,-0.09952160616702609
eI_tc,-0.09952160233085938
AirT_1pt5m,-0.09870172839175967
SoilCond,-0.09461607904990864
eI,-0.09461607754371235
Vitel_100cm_c,-0.09396782140930633
wfv,-0.09257511271495625
Vitel_100cm_d,0.08909173881993526
Temp_C,-0.08758898422974581
WndSpd_2m_WVc_3,-0.08196742655078527
Vitel_100cm_a,0.0796264004984887
eR_tc,-0.07798348732510077
eR,-0.07738286824189894
DayOfYear,-0.07632900943668106
Pressure_2,0.07578429610358654
WndSpd_10m_WVc_3,-0.0628582221477733
AirT_10m,-0.060127108805481236
Precip_TB3_Today,0.05924852151058532
Precip_TX_Today,0.05906889929633214
WndDir_10m,-0.04291462877267497
WndDir_2m,-0.03992354930408726
AirT_9pt5m,-0.012497956917827182
SoilT_5cm,-0.011245617744503259
SoilT_10cm,-0.011044024820155896
SoilT_100cm,-0.010488788909489465
SoilT_50cm,-0.010383628087682839
SoilT_20cm,-0.010252806155969704
Vitel_100cm_b,-0.005418765774993016
Precip_TB3_Tot,0.0022216308153098683
Minute,-0.00031104873421997873
Precip_TX_Tot,-0.00026639216289896516
NaCI,-0.00014291546006358063
SoilType,
